DistInstID,DistNm,SchlInstID,SchlNm,CntyNm
1894,Baker SD 5J,4759,Baker Early College,Baker
1894,Baker SD 5J,8,Baker High School,Baker
1894,Baker SD 5J,1,Baker Middle School,Baker
1894,Baker SD 5J,4728,Baker Web Academy,Baker
1894,Baker SD 5J,2,Brooklyn Primary School,Baker
1894,Baker SD 5J,3493,EAGLE CAP Innovative HS,Baker
1894,Baker SD 5J,4,Haines Elementary School,Baker
1894,Baker SD 5J,5,Keating Elementary School,Baker
1894,Baker SD 5J,7,South Baker Intermediate School,Baker
1896,Burnt River SD 30J,3347,Burnt River School,Baker
1895,Huntington SD 16J,3351,Huntington School,Baker
1897,Pine Eagle SD 61,15,Pine Eagle Charter School,Baker
1899,Alsea SD 7J,16,Alsea Elementary School,Benton
1899,Alsea SD 7J,17,Alsea High School,Benton
1901,Corvallis SD 509J,27,Adams Elementary School,Benton
1901,Corvallis SD 509J,28,Cheldelin Middle School,Benton
1901,Corvallis SD 509J,40,Corvallis High School,Benton
1901,Corvallis SD 509J,41,Crescent Valley High School,Benton
1901,Corvallis SD 509J,1322,Franklin School,Benton
1901,Corvallis SD 509J,30,Garfield Elementary School,Benton
1901,Corvallis SD 509J,33,Hoover Elementary School,Benton
1901,Corvallis SD 509J,4637,Inavale Community Partners dba Muddy Creek Charter School,Benton
1901,Corvallis SD 509J,35,Jefferson Elementary School,Benton
1901,Corvallis SD 509J,36,Lincoln Elementary School,Benton
1901,Corvallis SD 509J,38,Linus Pauling Middle School,Benton
1901,Corvallis SD 509J,37,Mt View Elementary School,Benton
1901,Corvallis SD 509J,39,Wilson Elementary School,Benton
1898,Monroe SD 1J,1321,Monroe Grade School,Benton
1898,Monroe SD 1J,43,Monroe High School,Benton
1900,Philomath SD 17J,18,Blodgett Elementary School,Benton
1900,Philomath SD 17J,3162,Clemens Primary School,Benton
1900,Philomath SD 17J,3440,Kings Valley Charter School,Benton
1900,Philomath SD 17J,20,Philomath Elementary School,Benton
1900,Philomath SD 17J,22,Philomath High School,Benton
1900,Philomath SD 17J,21,Philomath Middle School,Benton
1929,Canby SD 86,4434,Baker Prairie Middle School,Clackamas
1929,Canby SD 86,140,Canby High School,Clackamas
1929,Canby SD 86,92,Carus School,Clackamas
1929,Canby SD 86,1307,Cecile Trost Elementary School,Clackamas
1929,Canby SD 86,124,Howard Eccles Elementary School,Clackamas
1929,Canby SD 86,127,Ninety-One School,Clackamas
1929,Canby SD 86,4435,Philander Lee Elementary School,Clackamas
1929,Canby SD 86,122,William Knight Elementary School,Clackamas
1902,Clackamas ESD,4689,Clackamas River School,Clackamas
1902,Clackamas ESD,1246,Merrick School,Clackamas
1927,Colton SD 53,103,Colton Elementary School,Clackamas
1927,Colton SD 53,104,Colton High School,Clackamas
1927,Colton SD 53,1248,Colton Middle School,Clackamas
1930,Estacada SD 108,131,Clackamas River Elementary School,Clackamas
1930,Estacada SD 108,130,Eagle Creek Elementary School,Clackamas
1930,Estacada SD 108,4469,Estacada Alternative High School,Clackamas
1930,Estacada SD 108,4760,Estacada Early College,Clackamas
1930,Estacada SD 108,135,Estacada High School,Clackamas
1930,Estacada SD 108,134,Estacada Junior High School,Clackamas
1930,Estacada SD 108,4670,Estacada Web Academy,Clackamas
1931,Gladstone SD 115,4719,Gladstone Center for Children and Families,Clackamas
1931,Gladstone SD 115,138,Gladstone High School,Clackamas
1931,Gladstone SD 115,136,John Wetten Elementary School,Clackamas
1931,Gladstone SD 115,137,Walter L Kraxberger Middle School,Clackamas
1923,Lake Oswego SD 7J,53,Forest Hills Elementary School,Clackamas
1923,Lake Oswego SD 7J,54,Hallinan Elementary School,Clackamas
1923,Lake Oswego SD 7J,55,Lake Grove Elementary School,Clackamas
1923,Lake Oswego SD 7J,59,Lake Oswego Middle School,Clackamas
1923,Lake Oswego SD 7J,61,Lake Oswego Senior High School,Clackamas
1923,Lake Oswego SD 7J,62,Lakeridge High School,Clackamas
1923,Lake Oswego SD 7J,60,Lakeridge Middle School,Clackamas
1923,Lake Oswego SD 7J,1288,Oak Creek Elementary School,Clackamas
1923,Lake Oswego SD 7J,56,River Grove Elementary School,Clackamas
1923,Lake Oswego SD 7J,58,Westridge Elementary School,Clackamas
1925,Molalla River SD 35,93,Clarkes Elementary School,Clackamas
1925,Molalla River SD 35,94,Molalla Elementary School,Clackamas
1925,Molalla River SD 35,142,Molalla High School,Clackamas
1925,Molalla River SD 35,4745,Molalla River Academy,Clackamas
1925,Molalla River SD 35,95,Molalla River Middle School,Clackamas
1925,Molalla River SD 35,121,Mulino Elementary School,Clackamas
1925,Molalla River SD 35,4818,Renaissance Public Academy,Clackamas
1925,Molalla River SD 35,128,Rural Dell Elementary School,Clackamas
1924,North Clackamas SD 12,3530,Alder Creek Middle School,Clackamas
1924,North Clackamas SD 12,4762,Ardenwald Elementary School,Clackamas
1924,North Clackamas SD 12,65,Bilquist Elementary School,Clackamas
1924,North Clackamas SD 12,4475,Cascade Heights Public Charter School,Clackamas
1924,North Clackamas SD 12,85,Clackamas High School,Clackamas
1924,North Clackamas SD 12,4226,Clackamas Middle College,Clackamas
1924,North Clackamas SD 12,4223,Clackamas Web Academy,Clackamas
1924,North Clackamas SD 12,67,Concord Elementary School,Clackamas
1924,North Clackamas SD 12,4005,El Puente,Clackamas
1924,North Clackamas SD 12,4763,Happy Valley Elementary School,Clackamas
1924,North Clackamas SD 12,4715,Happy Valley Middle School,Clackamas
1924,North Clackamas SD 12,4764,Lewelling Elementary School,Clackamas
1924,North Clackamas SD 12,4765,Linwood Elementary School,Clackamas
1924,North Clackamas SD 12,4369,Milwaukie Academy of the Arts,Clackamas
1924,North Clackamas SD 12,73,Milwaukie Elementary School,Clackamas
1924,North Clackamas SD 12,86,Milwaukie High School,Clackamas
1924,North Clackamas SD 12,1264,Mount Scott Elementary School,Clackamas
1924,North Clackamas SD 12,4004,New Urban High School,Clackamas
1924,North Clackamas SD 12,3342,Oak Grove Elementary,Clackamas
1924,North Clackamas SD 12,4766,Oregon Trail Elementary School,Clackamas
1924,North Clackamas SD 12,87,Putnam High School,Clackamas
1924,North Clackamas SD 12,76,Riverside Elementary School,Clackamas
1924,North Clackamas SD 12,4767,Rock Creek Middle School,Clackamas
1924,North Clackamas SD 12,84,Rowe Middle School,Clackamas
1924,North Clackamas SD 12,4713,Scouters Mountain Elementary,Clackamas
1924,North Clackamas SD 12,2733,Sojourner School,Clackamas
1924,North Clackamas SD 12,3198,Spring Mountain Elementary School,Clackamas
1924,North Clackamas SD 12,78,Sunnyside Elementary School,Clackamas
1924,North Clackamas SD 12,4714,Verne A Duncan Elementary School,Clackamas
1924,North Clackamas SD 12,79,View Acres Elementary School,Clackamas
1924,North Clackamas SD 12,72,Whitcomb Elementary School,Clackamas
1928,Oregon City SD 62,4585,Alliance Charter Academy,Clackamas
1928,Oregon City SD 62,105,Beavercreek Elementary School,Clackamas
1928,Oregon City SD 62,106,Candy Lane Elementary School,Clackamas
1928,Oregon City SD 62,4802,Clackamas Academy of Industrial Sciences,Clackamas
1928,Oregon City SD 62,109,Gaffney Lane Elementary School,Clackamas
1928,Oregon City SD 62,115,Gardiner Middle School,Clackamas
1928,Oregon City SD 62,107,Holcomb Elementary School,Clackamas
1928,Oregon City SD 62,110,Jennings Lodge Elementary School,Clackamas
1928,Oregon City SD 62,114,John McLoughlin Elementary School,Clackamas
1928,Oregon City SD 62,116,Ogden Middle School,Clackamas
1928,Oregon City SD 62,118,Oregon City Senior High School,Clackamas
1928,Oregon City SD 62,2735,Oregon City Service Learning Academy,Clackamas
1928,Oregon City SD 62,139,Redland Elementary School,Clackamas
1928,Oregon City SD 62,4480,Springwater Environmental Sciences School,Clackamas
1926,Oregon Trail SD 46,97,Boring Middle School,Clackamas
1926,Oregon Trail SD 46,102,Cedar Ridge Middle School,Clackamas
1926,Oregon Trail SD 46,101,Firwood Elementary School,Clackamas
1926,Oregon Trail SD 46,99,Kelso Elementary School,Clackamas
1926,Oregon Trail SD 46,96,Naas Elementary School,Clackamas
1926,Oregon Trail SD 46,4820,Oregon Trail  Academy,Clackamas
1926,Oregon Trail SD 46,100,Sandy Grade School,Clackamas
1926,Oregon Trail SD 46,141,Sandy High School,Clackamas
1926,Oregon Trail SD 46,88,Welches Elementary School,Clackamas
1926,Oregon Trail SD 46,2392,Welches Middle School,Clackamas
1922,West Linn-Wilsonville SD 3J,4773,Arts and Technology High School,Clackamas
1922,West Linn-Wilsonville SD 3J,1287,Athey Creek Middle School,Clackamas
1922,West Linn-Wilsonville SD 3J,1272,Boeckman Creek Primary School,Clackamas
1922,West Linn-Wilsonville SD 3J,3455,Bolton Primary School,Clackamas
1922,West Linn-Wilsonville SD 3J,3913,Boones Ferry Primary School,Clackamas
1922,West Linn-Wilsonville SD 3J,45,Cedaroak Park Primary School,Clackamas
1922,West Linn-Wilsonville SD 3J,46,Inza R Wood Middle School,Clackamas
1922,West Linn-Wilsonville SD 3J,5056,Lowrie Primary School,Clackamas
1922,West Linn-Wilsonville SD 3J,2787,Rosemont Ridge Middle School,Clackamas
1922,West Linn-Wilsonville SD 3J,47,Stafford Primary School,Clackamas
1922,West Linn-Wilsonville SD 3J,48,Sunset Primary School,Clackamas
1922,West Linn-Wilsonville SD 3J,3452,Three Rivers Charter School,Clackamas
1922,West Linn-Wilsonville SD 3J,5057,Trillium Creek Primary School,Clackamas
1922,West Linn-Wilsonville SD 3J,51,West Linn High School,Clackamas
1922,West Linn-Wilsonville SD 3J,1286,Willamette Primary School,Clackamas
1922,West Linn-Wilsonville SD 3J,1323,Wilsonville High School,Clackamas
1933,Astoria SD 1,143,Astor Elementary School,Clatsop
1933,Astoria SD 1,144,Astoria Middle School,Clatsop
1933,Astoria SD 1,146,Astoria Senior High School,Clatsop
1933,Astoria SD 1,147,Lewis & Clark Elementary School,Clatsop
1934,Jewell SD 8,3352,Jewell School,Clatsop
2262,Knappa SD 4,166,Hilda Lahti Elementary School,Clatsop
2262,Knappa SD 4,169,Knappa High School,Clatsop
1935,Seaside SD 10,150,Broadway Middle School,Clatsop
1935,Seaside SD 10,151,Cannon Beach Elementary,Clatsop
1935,Seaside SD 10,153,Gearhart Elementary School,Clatsop
1935,Seaside SD 10,152,Seaside Heights Elementary School,Clatsop
1935,Seaside SD 10,154,Seaside High School,Clatsop
1936,Warrenton-Hammond SD 30,156,Warrenton Grade School,Clatsop
1936,Warrenton-Hammond SD 30,157,Warrenton High School,Clatsop
1945,Clatskanie SD 6J,163,Clatskanie Elementary School,Columbia
1945,Clatskanie SD 6J,168,Clatskanie Middle/High School,Columbia
1946,Rainier SD 13,171,Hudson Park Elementary School,Columbia
1946,Rainier SD 13,4234,North Columbia Academy,Columbia
1946,Rainier SD 13,174,Rainier Jr/Sr High School,Columbia
1944,Scappoose SD 1J,158,Grant Watts Elementary School,Columbia
1944,Scappoose SD 1J,159,Otto Petersen Elementary School,Columbia
1944,Scappoose SD 1J,958,Sauvie Island Academy,Columbia
1944,Scappoose SD 1J,162,Scappoose High School,Columbia
1944,Scappoose SD 1J,161,Scappoose Middle School,Columbia
1944,Scappoose SD 1J,4221,South Columbia Family School,Columbia
1944,Scappoose SD 1J,160,Warren Elementary School,Columbia
1948,St Helens SD 502,2716,Columbia County Education Campus,Columbia
1948,St Helens SD 502,3569,Lewis & Clark Elementary School,Columbia
1948,St Helens SD 502,182,McBride Elementary School,Columbia
1948,St Helens SD 502,4602,St Helens Arthur Academy,Columbia
1948,St Helens SD 502,185,St Helens High School,Columbia
1948,St Helens SD 502,184,St Helens Middle School,Columbia
1947,Vernonia SD 47J,176,Mist Elementary School,Columbia
1947,Vernonia SD 47J,177,Vernonia Elementary School,Columbia
1947,Vernonia SD 47J,178,Vernonia High School,Columbia
1947,Vernonia SD 47J,4396,Vernonia Middle School,Columbia
1969,Bandon SD 54,218,Bandon Senior High School,Coos
1969,Bandon SD 54,216,Harbor Lights Middle School,Coos
1969,Bandon SD 54,217,Ocean Crest Elementary School,Coos
1965,Coos Bay SD 9,192,Blossom Gulch Elementary School,Coos
1965,Coos Bay SD 9,3227,Destinations Academy,Coos
1965,Coos Bay SD 9,196,Madison Elementary School,Coos
1965,Coos Bay SD 9,201,Marshfield Senior High School,Coos
1965,Coos Bay SD 9,197,Millicoma School,Coos
1965,Coos Bay SD 9,4079,Resource Link Charter School,Coos
1965,Coos Bay SD 9,199,Sunset School,Coos
1964,Coquille SD 8,191,Coquille High School,Coos
1964,Coquille SD 8,4025,Coquille Valley Intermediate School,Coos
1964,Coquille SD 8,186,Coquille Valley Middle School,Coos
1964,Coquille SD 8,189,Lincoln Elementary School,Coos
1964,Coquille SD 8,4857,Winter Lakes High School,Coos
1964,Coquille SD 8,5120,Winter Lakes Virtual Academy,Coos
1968,Myrtle Point SD 41,214,Myrtle Crest School,Coos
1968,Myrtle Point SD 41,215,Myrtle Point High School,Coos
1966,North Bend SD 13,204,Hillcrest Elementary School,Coos
1966,North Bend SD 13,4603,Kairos - Coastline,Coos
1966,North Bend SD 13,3615,Lighthouse School,Coos
1966,North Bend SD 13,205,North Bay Elementary School,Coos
1966,North Bend SD 13,208,North Bend Middle School,Coos
1966,North Bend SD 13,209,North Bend Senior High School,Coos
1966,North Bend SD 13,3990,Oregon Coast Technology School,Coos
1966,North Bend SD 13,4690,Oregon Virtual Academy,Coos
1967,Powers SD 31,210,Powers Elementary School,Coos
1967,Powers SD 31,211,Powers High School,Coos
1970,Crook County SD,1337,Cecil Sly Elementary School,Crook
1970,Crook County SD,225,Crook County High School,Crook
1970,Crook County SD,224,Crook County Middle School,Crook
1970,Crook County SD,219,Crooked River Elementary School,Crook
1970,Crook County SD,5150,Insight School of Oregon-Charter Option,Crook
1970,Crook County SD,221,Ochoco Elementary School,Crook
1970,Crook County SD,222,Paulina School,Crook
1970,Crook County SD,4392,Pioneer Secondary Alternative High School,Crook
1970,Crook County SD,223,Powell Butte Community Charter School,Crook
1974,Brookings-Harbor SD 17C,235,Azalea Middle School,Curry
1974,Brookings-Harbor SD 17C,237,Brookings-Harbor High School,Curry
1974,Brookings-Harbor SD 17C,236,Kalmiopsis Elementary School,Curry
1972,Central Curry SD 1,239,Gold Beach High School,Curry
1972,Central Curry SD 1,231,Riley Creek Elementary School,Curry
1973,Port Orford-Langlois SD 2CJ,228,Driftwood Elementary School,Curry
1973,Port Orford-Langlois SD 2CJ,229,Pacific High School,Curry
1976,Bend-LaPine Administrative SD 1,1324,Amity Creek Elementary School,Deschutes
1976,Bend-LaPine Administrative SD 1,241,Bear Creek Elementary School,Deschutes
1976,Bend-LaPine Administrative SD 1,251,Bend Senior High School,Deschutes
1976,Bend-LaPine Administrative SD 1,250,Buckingham Elementary School,Deschutes
1976,Bend-LaPine Administrative SD 1,242,Cascade Middle School,Deschutes
1976,Bend-LaPine Administrative SD 1,1308,Elk Meadow Elementary School,Deschutes
1976,Bend-LaPine Administrative SD 1,4129,Ensworth Elementary School,Deschutes
1976,Bend-LaPine Administrative SD 1,1309,High Desert Middle School,Deschutes
1976,Bend-LaPine Administrative SD 1,3218,High Lakes Elementary School,Deschutes
1976,Bend-LaPine Administrative SD 1,3219,Highland School at Kenwood Elementary School,Deschutes
1976,Bend-LaPine Administrative SD 1,246,Juniper Elementary School,Deschutes
1976,Bend-LaPine Administrative SD 1,245,LaPine Elementary School,Deschutes
1976,Bend-LaPine Administrative SD 1,1310,LaPine Middle School,Deschutes
1976,Bend-LaPine Administrative SD 1,253,LaPine Senior High School,Deschutes
1976,Bend-LaPine Administrative SD 1,1317,Lava Ridge Elementary School,Deschutes
1976,Bend-LaPine Administrative SD 1,1338,Marshall High School,Deschutes
1976,Bend-LaPine Administrative SD 1,252,Mountain View Senior High School,Deschutes
1976,Bend-LaPine Administrative SD 1,249,Pilot Butte Middle School,Deschutes
1976,Bend-LaPine Administrative SD 1,3947,Pine Ridge Elementary,Deschutes
1976,Bend-LaPine Administrative SD 1,4646,Ponderosa Elementary,Deschutes
1976,Bend-LaPine Administrative SD 1,247,R E Jewell Elementary School,Deschutes
1976,Bend-LaPine Administrative SD 1,3448,REALMS (Rimrock Expeditionary Alternative Learning Middle Sc,Deschutes
1976,Bend-LaPine Administrative SD 1,4793,Rosland Elementary,Deschutes
1976,Bend-LaPine Administrative SD 1,3217,Sky View Middle School,Deschutes
1976,Bend-LaPine Administrative SD 1,3216,Summit High School,Deschutes
1976,Bend-LaPine Administrative SD 1,1266,Three Rivers Elementary School,Deschutes
1976,Bend-LaPine Administrative SD 1,3221,Westside Village Magnet School at Kingston Elementary School,Deschutes
1976,Bend-LaPine Administrative SD 1,4680,William E Miller Elementary,Deschutes
1977,Redmond SD 2J,1326,Elton Gregory Middle School,Deschutes
1977,Redmond SD 2J,258,John Tuck Elementary School,Deschutes
1977,Redmond SD 2J,259,M A Lynch Elementary School,Deschutes
1977,Redmond SD 2J,262,Obsidian Middle School,Deschutes
1977,Redmond SD 2J,263,Redmond High School,Deschutes
1977,Redmond SD 2J,4729,Redmond Proficiency Academy,Deschutes
1977,Redmond SD 2J,5058,Ridgeview High School,Deschutes
1977,Redmond SD 2J,256,Sage Elementary School,Deschutes
1977,Redmond SD 2J,260,Terrebonne Community School,Deschutes
1977,Redmond SD 2J,4429,Tom McCall Elementary School,Deschutes
1977,Redmond SD 2J,261,Tumalo Community School,Deschutes
1977,Redmond SD 2J,1325,Vern Patrick Elementary School,Deschutes
1978,Sisters SD 6,264,Sisters Elementary School,Deschutes
1978,Sisters SD 6,1294,Sisters High School,Deschutes
1978,Sisters SD 6,1293,Sisters Middle School,Deschutes
1995,Camas Valley SD 21J,3400,Camas Valley School,Douglas
1993,Douglas County SD 15,3348,Days Creek Charter School,Douglas
1993,Douglas County SD 15,287,Tiller Elementary School,Douglas
1991,Douglas County SD 4,269,Eastwood Elementary School,Douglas
1991,Douglas County SD 4,270,Fir Grove Elementary School,Douglas
1991,Douglas County SD 4,271,Fullerton IV Elementary School,Douglas
1991,Douglas County SD 4,272,Green Elementary School,Douglas
1991,Douglas County SD 4,273,Hucrest Elementary School,Douglas
1991,Douglas County SD 4,278,John C Fremont Middle School,Douglas
1991,Douglas County SD 4,279,Joseph Lane Middle School,Douglas
1991,Douglas County SD 4,274,Melrose Elementary School,Douglas
1991,Douglas County SD 4,4391,Phoenix School,Douglas
1991,Douglas County SD 4,275,Rose Elementary School,Douglas
1991,Douglas County SD 4,280,Roseburg High School,Douglas
1991,Douglas County SD 4,276,Sunnyslope Elementary School,Douglas
1991,Douglas County SD 4,277,Winchester Elementary,Douglas
1980,Douglas ESD,1250,Therapeutic Learning Center,Douglas
1998,Elkton SD 34,302,Elkton Charter School,Douglas
2000,Glendale SD 77,307,Glendale Community Charter School,Douglas
2000,Glendale SD 77,306,Glendale Elementary School,Douglas
1992,Glide SD 12,282,Glide Elementary School,Douglas
1992,Glide SD 12,285,Glide High School,Douglas
1992,Glide SD 12,284,Glide Middle School,Douglas
1996,North Douglas SD 22,296,North Douglas Elementary School,Douglas
1996,North Douglas SD 22,297,North Douglas High School,Douglas
1990,Oakland SD 1,266,Lincoln Middle School,Douglas
1990,Oakland SD 1,267,Oakland Elementary School,Douglas
1990,Oakland SD 1,268,Oakland High School,Douglas
2001,Reedsport SD 105,309,Highland Elementary School,Douglas
2001,Reedsport SD 105,310,Reedsport Community Charter School,Douglas
1999,Riddle SD 70,4228,Riddle Education Center,Douglas
1999,Riddle SD 70,304,Riddle Elementary School,Douglas
1999,Riddle SD 70,305,Riddle High School,Douglas
1994,South Umpqua SD 19,289,Canyonville School,Douglas
1994,South Umpqua SD 19,291,Coffenberry Middle School,Douglas
1994,South Umpqua SD 19,290,Myrtle Creek Elementary School,Douglas
1994,South Umpqua SD 19,293,South Umpqua High School,Douglas
1994,South Umpqua SD 19,292,Tri City Elementary School,Douglas
2003,Sutherlin SD 130,318,East Sutherlin Primary School,Douglas
2003,Sutherlin SD 130,321,Sutherlin High School,Douglas
2003,Sutherlin SD 130,319,Sutherlin Middle School,Douglas
2003,Sutherlin SD 130,320,West Sutherlin Intermediate,Douglas
2002,Winston-Dillard SD 116,3624,Brockway Elementary School,Douglas
2002,Winston-Dillard SD 116,316,Douglas High School,Douglas
2002,Winston-Dillard SD 116,313,Lookingglass Elementary School,Douglas
2002,Winston-Dillard SD 116,311,McGovern Elementary School,Douglas
2002,Winston-Dillard SD 116,315,Winston Middle School,Douglas
1997,Yoncalla SD 32,299,Yoncalla Elementary School,Douglas
1997,Yoncalla SD 32,300,Yoncalla High School,Douglas
2005,Arlington SD 3,323,Arlington Community Charter School,Gilliam
2006,Condon SD 25J,325,Condon Elementary School,Gilliam
2006,Condon SD 25J,326,Condon High School,Gilliam
2011,Dayville SD 16J,3353,Dayville School,Grant
2008,John Day SD 3,331,Grant Union Junior/Senior High School,Grant
2008,John Day SD 3,327,Humbolt Elementary School,Grant
2008,John Day SD 3,330,Seneca Elementary School,Grant
2012,Long Creek SD 17,3366,Long Creek School,Grant
2010,Monument SD 8,3350,Monument School,Grant
2009,Prairie City SD 4,3349,Prairie City School,Grant
2017,Diamond SD 7,348,Diamond Elementary School,Harney
2021,Double O SD 28,352,Double O Elementary School,Harney
2019,Drewsey SD 13,350,Drewsey Elementary School,Harney
2020,Frenchglen SD 16,351,Frenchglen Elementary School,Harney
2014,Harney County SD 3,3740,Burns Alternative School,Harney
2014,Harney County SD 3,359,Burns High School,Harney
2014,Harney County SD 3,342,Henry L Slater Elementary School,Harney
